,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX
chr1,-9999.0,0.86,0.89,0.9,0.83,0.88,0.87,0.88,0.84,0.85,0.83,0.44,0.41,0.86,0.46,0.76,0.45,0.46,0.49,0.82,0.76,0.71,0.81
chr2,0.82,-9999.0,0.8,0.81,0.79,0.8,0.79,0.79,0.78,0.78,0.78,0.79,0.78,0.79,0.78,0.77,0.76,0.77,0.74,0.46,0.73,0.36,0.76
chr3,0.79,0.8,-9999.0,0.79,0.77,0.76,0.77,0.77,0.76,0.78,0.76,0.78,0.76,0.76,0.75,0.75,0.7,0.74,0.67,0.74,0.68,0.62,0.72
chr4,0.8,0.8,0.82,-9999.0,0.8,0.76,0.78,0.78,0.78,0.76,0.76,0.78,0.83,0.78,0.76,0.76,0.73,0.78,0.69,0.75,0.77,0.63,0.71
chr5,0.73,0.74,0.75,0.76,-9999.0,0.76,0.75,0.72,0.73,0.73,0.75,0.77,0.73,0.76,0.76,0.75,0.71,0.77,0.68,0.76,0.69,0.59,0.71
chr6,0.81,0.82,0.85,0.83,0.84,-9999.0,0.81,0.82,0.8,0.79,0.8,0.8,0.81,0.79,0.79,0.81,0.79,0.79,0.74,0.78,0.74,0.72,0.75
chr7,0.8,0.8,0.82,0.82,0.83,0.82,-9999.0,0.81,0.79,0.8,0.8,0.82,0.83,0.8,0.79,0.79,0.76,0.8,0.74,0.79,0.77,0.67,0.77
chr8,0.83,0.84,0.84,0.84,0.83,0.82,0.83,-9999.0,0.82,0.81,0.82,0.83,0.83,0.8,0.8,0.81,0.81,0.83,0.78,0.79,0.76,0.75,0.81
chr9,0.85,0.86,0.86,0.87,0.88,0.87,0.88,0.88,-9999.0,0.87,0.86,0.87,0.88,0.86,0.83,0.84,0.81,0.87,0.79,0.85,0.82,0.75,0.85
chr10,0.83,0.84,0.85,0.86,0.85,0.85,0.85,0.86,0.84,-9999.0,0.84,0.84,0.85,0.83,0.83,0.81,0.82,0.85,0.81,0.83,0.82,0.76,0.79
chr11,0.82,0.84,0.84,0.85,0.86,0.84,0.85,0.85,0.8,0.83,-9999.0,0.82,0.83,0.79,0.8,0.75,0.73,0.83,0.76,0.74,0.74,0.74,0.79
chr12,0.79,0.8,0.8,0.79,0.81,0.81,0.79,0.8,0.78,0.8,0.79,-9999.0,0.79,0.8,0.76,0.73,0.72,0.79,0.69,0.79,0.76,0.65,0.75
chr13,0.81,0.82,0.84,0.83,0.82,0.81,0.84,0.85,0.86,0.85,0.82,0.81,-9999.0,0.79,0.82,0.79,0.8,0.83,0.81,0.77,0.8,0.78,0.77
chr14,0.88,0.87,0.87,0.87,0.87,0.89,0.87,0.88,0.87,0.87,0.89,0.88,0.89,-9999.0,0.88,0.87,0.85,0.86,0.85,0.88,0.86,0.84,0.81
chr15,0.93,0.94,0.94,0.92,0.93,0.95,0.93,0.94,0.92,0.93,0.92,0.91,0.93,0.93,-9999.0,0.9,0.87,0.9,0.87,0.91,0.89,0.86,0.89
chr16,0.83,0.9,0.89,0.89,0.9,0.89,0.91,0.86,0.83,0.9,0.85,0.85,0.91,0.9,0.81,-9999.0,0.8,0.87,0.8,0.85,0.83,0.78,0.84
chr17,0.84,0.84,0.81,0.81,0.83,0.84,0.82,0.81,0.84,0.81,0.84,0.81,0.81,0.85,0.82,0.83,-9999.0,0.78,0.8,0.82,0.83,0.79,0.79
chr18,0.79,0.81,0.82,0.81,0.82,0.79,0.8,0.81,0.74,0.8,0.79,0.79,0.82,0.82,0.73,0.74,0.74,-9999.0,0.69,0.73,0.73,0.71,0.73
chr19,0.87,0.85,0.84,0.84,0.85,0.87,0.85,0.85,0.84,0.85,0.85,0.87,0.84,0.86,0.83,0.87,0.82,0.82,-9999.0,0.86,0.84,0.81,0.76
chr20,0.8,0.8,0.82,0.81,0.83,0.83,0.83,0.82,0.78,0.75,0.82,0.78,0.84,0.82,0.73,0.8,0.72,0.85,0.73,-9999.0,0.76,0.71,0.75
chr21,0.9,0.92,0.92,0.93,0.94,0.92,0.92,0.91,0.91,0.9,0.9,0.91,0.91,0.94,0.9,0.91,0.87,0.91,0.88,0.93,-9999.0,0.87,0.88
chr22,0.93,0.94,0.92,0.92,0.92,0.95,0.92,0.92,0.94,0.93,0.92,0.94,0.9,0.93,0.93,0.93,0.93,0.9,0.9,0.93,0.91,-9999.0,0.75
chrX,0.72,0.75,0.76,0.75,0.73,0.73,0.75,0.76,0.73,0.74,0.71,0.69,0.72,0.72,0.69,0.69,0.67,0.72,0.66,0.65,0.67,0.58,-9999.0
