,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX
chr1,-9999.0,0.82,0.79,0.73,0.54,0.79,0.79,0.74,0.78,0.82,0.81,0.43,0.44,0.76,0.41,0.75,0.46,0.48,0.46,0.76,0.63,0.64,0.57
chr2,0.8,-9999.0,0.75,0.73,0.72,0.73,0.75,0.7,0.74,0.74,0.76,0.74,0.69,0.71,0.72,0.71,0.67,0.67,0.61,0.46,0.61,0.33,0.5
chr3,0.73,0.71,-9999.0,0.58,0.61,0.62,0.66,0.58,0.67,0.67,0.66,0.65,0.57,0.59,0.65,0.64,0.64,0.59,0.53,0.61,0.54,0.5,0.46
chr4,0.73,0.74,0.74,-9999.0,0.66,0.69,0.66,0.67,0.67,0.67,0.67,0.67,0.66,0.64,0.64,0.63,0.59,0.65,0.54,0.59,0.59,0.5,0.49
chr5,0.69,0.71,0.71,0.69,-9999.0,0.67,0.66,0.66,0.66,0.67,0.67,0.64,0.65,0.63,0.64,0.63,0.58,0.64,0.57,0.63,0.64,0.56,0.51
chr6,0.7,0.71,0.73,0.66,0.67,-9999.0,0.68,0.63,0.67,0.68,0.69,0.65,0.61,0.64,0.66,0.7,0.65,0.62,0.56,0.64,0.58,0.52,0.48
chr7,0.74,0.75,0.68,0.68,0.69,0.7,-9999.0,0.6,0.68,0.71,0.72,0.72,0.63,0.68,0.7,0.71,0.66,0.63,0.55,0.67,0.61,0.58,0.49
chr8,0.75,0.78,0.78,0.77,0.77,0.77,0.76,-9999.0,0.73,0.75,0.75,0.74,0.71,0.73,0.69,0.73,0.7,0.71,0.63,0.69,0.68,0.62,0.53
chr9,0.85,0.85,0.86,0.82,0.84,0.86,0.86,0.83,-9999.0,0.84,0.84,0.84,0.78,0.83,0.84,0.83,0.78,0.83,0.75,0.83,0.82,0.74,0.59
chr10,0.84,0.79,0.77,0.74,0.77,0.78,0.8,0.76,0.79,-9999.0,0.79,0.79,0.67,0.75,0.78,0.79,0.76,0.7,0.69,0.78,0.67,0.67,0.52
chr11,0.79,0.77,0.79,0.71,0.77,0.78,0.77,0.75,0.79,0.79,-9999.0,0.77,0.69,0.73,0.75,0.74,0.72,0.75,0.69,0.74,0.66,0.66,0.5
chr12,0.71,0.68,0.68,0.63,0.7,0.69,0.7,0.65,0.72,0.72,0.69,-9999.0,0.63,0.65,0.68,0.69,0.68,0.65,0.63,0.71,0.66,0.62,0.46
chr13,0.79,0.82,0.81,0.82,0.82,0.8,0.79,0.8,0.79,0.79,0.79,0.78,-9999.0,0.79,0.74,0.72,0.67,0.79,0.63,0.69,0.73,0.59,0.59
chr14,0.85,0.84,0.83,0.78,0.8,0.84,0.83,0.81,0.83,0.84,0.83,0.83,0.79,-9999.0,0.83,0.84,0.81,0.78,0.76,0.83,0.77,0.74,0.56
chr15,0.84,0.81,0.83,0.8,0.8,0.82,0.86,0.81,0.85,0.84,0.83,0.81,0.79,0.82,-9999.0,0.84,0.82,0.8,0.78,0.85,0.76,0.78,0.61
chr16,0.79,0.85,0.85,0.84,0.85,0.82,0.85,0.85,0.81,0.85,0.81,0.8,0.83,0.87,0.8,-9999.0,0.76,0.85,0.75,0.79,0.8,0.75,0.56
chr17,0.83,0.77,0.79,0.75,0.77,0.8,0.83,0.77,0.79,0.81,0.79,0.82,0.72,0.79,0.82,0.82,-9999.0,0.74,0.78,0.8,0.75,0.77,0.54
chr18,0.74,0.77,0.77,0.76,0.75,0.78,0.74,0.76,0.73,0.73,0.76,0.75,0.74,0.76,0.76,0.72,0.72,-9999.0,0.66,0.71,0.73,0.66,0.53
chr19,0.85,0.84,0.78,0.78,0.82,0.8,0.84,0.82,0.81,0.82,0.86,0.86,0.75,0.87,0.84,0.87,0.88,0.73,-9999.0,0.88,0.73,0.81,0.57
chr20,0.7,0.69,0.68,0.72,0.69,0.7,0.7,0.73,0.69,0.7,0.71,0.68,0.71,0.73,0.68,0.72,0.67,0.73,0.65,-9999.0,0.72,0.67,0.49
chr21,0.84,0.84,0.84,0.83,0.87,0.85,0.86,0.85,0.88,0.86,0.88,0.87,0.89,0.89,0.88,0.87,0.85,0.86,0.84,0.89,-9999.0,0.82,0.63
chr22,0.9,0.86,0.85,0.85,0.85,0.86,0.88,0.85,0.87,0.89,0.84,0.9,0.82,0.87,0.89,0.86,0.9,0.81,0.85,0.88,0.8,-9999.0,0.67
chrX,0.71,0.73,0.72,0.71,0.7,0.69,0.61,0.66,0.64,0.64,0.68,0.63,0.57,0.64,0.59,0.58,0.53,0.58,0.47,0.51,0.56,0.47,-9999.0
