,HMEC,GM12878,IMR90,HUVEC,NHEK
chr13,0.91,0.2,0.91,0.22,0.96
chr17,0.9,0.9,0.13,0.15,0.9
chr16,0.23,0.85,0.92,0.93,0.91
chr12,0.11,0.83,0.11,0.87,0.91
chr6,0.83,0.18,0.85,0.77,0.84
chr8,0.1,0.88,0.87,0.83,0.93
chr4,0.88,0.88,0.13,0.13,0.1
chr7,0.14,0.91,0.94,0.92,0.17
chr15,0.95,0.32,0.27,0.97,0.98
chr11,0.89,0.87,0.1,0.88,0.93
chr14,0.23,0.93,0.22,0.23,0.22
chr19,0.9,0.24,0.19,0.92,0.19
chr1,0.4,0.9,0.48,0.34,0.52
chrX,0.2,0.81,0.16,0.22,0.24
chr2,0.24,0.38,0.22,0.36,0.31
chr10,0.89,0.88,0.89,0.9,0.1
chr20,0.75,0.83,0.15,0.2,0.19
chr5,0.86,0.09,0.09,0.13,0.94
chr21,0.33,0.92,0.94,0.94,0.31
chr22,0.92,0.38,0.96,0.38,0.96
chr18,0.11,0.14,0.82,0.16,0.9
chr3,0.1,0.86,0.88,0.13,0.1
chr9,0.9,0.28,0.29,0.94,0.83
