,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX
chr1,-9999.0,0.91,0.9,0.92,0.86,0.9,0.92,0.9,0.52,0.89,0.86,0.42,0.47,0.88,0.4,0.83,0.42,0.44,0.47,0.82,0.81,0.71,0.91
chr2,0.81,-9999.0,0.79,0.8,0.79,0.79,0.8,0.79,0.77,0.78,0.79,0.78,0.78,0.76,0.73,0.72,0.68,0.79,0.69,0.44,0.75,0.34,0.79
chr3,0.74,0.8,-9999.0,0.79,0.81,0.8,0.79,0.79,0.78,0.77,0.79,0.78,0.76,0.74,0.7,0.7,0.67,0.77,0.69,0.69,0.73,0.53,0.76
chr4,0.83,0.84,0.84,-9999.0,0.84,0.82,0.83,0.83,0.82,0.82,0.81,0.82,0.84,0.8,0.8,0.81,0.79,0.82,0.57,0.79,0.82,0.66,0.81
chr5,0.78,0.79,0.79,0.8,-9999.0,0.8,0.79,0.79,0.79,0.78,0.79,0.79,0.78,0.78,0.75,0.79,0.75,0.83,0.58,0.77,0.78,0.61,0.78
chr6,0.7,0.73,0.73,0.72,0.72,-9999.0,0.68,0.71,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.71,0.69,0.7,0.65,0.69,0.67,0.71,0.7
chr7,0.74,0.76,0.77,0.81,0.78,0.78,-9999.0,0.81,0.79,0.79,0.79,0.77,0.83,0.78,0.77,0.78,0.74,0.82,0.64,0.78,0.78,0.67,0.83
chr8,0.84,0.84,0.78,0.85,0.84,0.83,0.84,-9999.0,0.81,0.83,0.81,0.82,0.84,0.83,0.81,0.83,0.75,0.84,0.74,0.8,0.77,0.62,0.84
chr9,0.75,0.85,0.84,0.88,0.89,0.86,0.89,0.9,-9999.0,0.91,0.86,0.89,0.93,0.9,0.89,0.84,0.77,0.92,0.78,0.82,0.9,0.74,0.92
chr10,0.78,0.76,0.75,0.81,0.8,0.77,0.79,0.86,0.8,-9999.0,0.81,0.81,0.85,0.82,0.82,0.83,0.79,0.83,0.74,0.81,0.79,0.79,0.85
chr11,0.69,0.75,0.75,0.82,0.8,0.79,0.84,0.85,0.79,0.86,-9999.0,0.82,0.84,0.81,0.78,0.78,0.74,0.87,0.75,0.76,0.78,0.69,0.85
chr12,0.66,0.7,0.69,0.8,0.76,0.71,0.72,0.8,0.73,0.8,0.73,-9999.0,0.86,0.8,0.74,0.73,0.71,0.83,0.66,0.82,0.77,0.69,0.83
chr13,0.89,0.88,0.87,0.89,0.88,0.86,0.89,0.9,0.88,0.9,0.89,0.88,-9999.0,0.86,0.85,0.86,0.84,0.88,0.83,0.85,0.84,0.79,0.89
chr14,0.88,0.85,0.85,0.9,0.91,0.88,0.9,0.89,0.89,0.91,0.89,0.89,0.93,-9999.0,0.89,0.87,0.85,0.91,0.85,0.88,0.89,0.83,0.92
chr15,0.86,0.85,0.84,0.87,0.84,0.85,0.83,0.86,0.85,0.87,0.85,0.83,0.85,0.89,-9999.0,0.92,0.88,0.94,0.8,0.93,0.86,0.89,0.89
chr16,0.82,0.84,0.82,0.83,0.85,0.81,0.85,0.87,0.83,0.86,0.82,0.83,0.86,0.85,0.88,-9999.0,0.8,0.89,0.75,0.84,0.85,0.79,0.89
chr17,0.85,0.81,0.82,0.74,0.78,0.8,0.83,0.8,0.81,0.84,0.87,0.86,0.67,0.87,0.86,0.83,-9999.0,0.77,0.74,0.89,0.64,0.84,0.68
chr18,0.8,0.83,0.84,0.82,0.83,0.83,0.83,0.84,0.82,0.81,0.81,0.8,0.82,0.8,0.8,0.79,0.79,-9999.0,0.73,0.81,0.8,0.76,0.82
chr19,0.8,0.86,0.85,0.86,0.84,0.84,0.89,0.86,0.86,0.87,0.88,0.87,0.8,0.88,0.87,0.86,0.83,0.77,-9999.0,0.84,0.78,0.85,0.59
chr20,0.77,0.8,0.77,0.82,0.82,0.75,0.82,0.84,0.79,0.83,0.8,0.8,0.82,0.84,0.83,0.78,0.74,0.83,0.74,-9999.0,0.79,0.76,0.84
chr21,0.85,0.84,0.84,0.87,0.86,0.85,0.87,0.87,0.85,0.82,0.86,0.84,0.9,0.89,0.84,0.84,0.8,0.9,0.8,0.83,-9999.0,0.76,0.86
chr22,0.93,0.89,0.86,0.85,0.88,0.87,0.85,0.91,0.92,0.89,0.93,0.94,0.86,0.94,0.95,0.94,0.94,0.84,0.92,0.93,0.83,-9999.0,0.93
chrX,0.8,0.83,0.83,0.81,0.82,0.82,0.83,0.83,0.81,0.82,0.8,0.8,0.81,0.79,0.79,0.76,0.77,0.8,0.71,0.74,0.79,0.65,-9999.0
