,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX
chr1,-9999.0,0.86,0.85,0.82,0.82,0.85,0.83,0.82,0.82,0.83,0.84,0.46,0.52,0.77,0.42,0.77,0.41,0.46,0.45,0.74,0.54,0.55,0.7
chr2,0.79,-9999.0,0.78,0.77,0.78,0.77,0.77,0.75,0.75,0.76,0.76,0.76,0.72,0.72,0.72,0.69,0.65,0.62,0.58,0.44,0.49,0.4,0.55
chr3,0.74,0.77,-9999.0,0.72,0.76,0.76,0.73,0.72,0.72,0.72,0.75,0.73,0.7,0.7,0.7,0.67,0.66,0.65,0.55,0.6,0.51,0.48,0.55
chr4,0.74,0.76,0.75,-9999.0,0.73,0.72,0.73,0.73,0.7,0.73,0.73,0.73,0.64,0.67,0.68,0.67,0.62,0.64,0.54,0.62,0.54,0.5,0.45
chr5,0.76,0.75,0.76,0.74,-9999.0,0.75,0.73,0.73,0.74,0.74,0.74,0.74,0.68,0.66,0.71,0.71,0.65,0.68,0.57,0.66,0.59,0.49,0.52
chr6,0.72,0.76,0.78,0.74,0.76,-9999.0,0.74,0.72,0.73,0.71,0.71,0.72,0.69,0.69,0.68,0.68,0.65,0.6,0.55,0.62,0.52,0.5,0.49
chr7,0.75,0.77,0.78,0.76,0.77,0.78,-9999.0,0.74,0.76,0.78,0.77,0.78,0.73,0.71,0.73,0.72,0.67,0.69,0.56,0.68,0.56,0.57,0.5
chr8,0.78,0.78,0.8,0.78,0.79,0.79,0.78,-9999.0,0.77,0.77,0.76,0.78,0.72,0.71,0.72,0.74,0.69,0.71,0.61,0.69,0.64,0.58,0.59
chr9,0.83,0.85,0.84,0.86,0.86,0.85,0.84,0.85,-9999.0,0.84,0.85,0.84,0.82,0.83,0.83,0.82,0.78,0.81,0.71,0.79,0.75,0.67,0.68
chr10,0.79,0.8,0.79,0.8,0.79,0.79,0.78,0.81,0.79,-9999.0,0.77,0.78,0.75,0.74,0.77,0.76,0.72,0.71,0.64,0.71,0.65,0.6,0.49
chr11,0.8,0.82,0.82,0.8,0.82,0.82,0.81,0.81,0.8,0.83,-9999.0,0.81,0.74,0.77,0.76,0.77,0.73,0.75,0.64,0.74,0.62,0.6,0.54
chr12,0.74,0.76,0.76,0.76,0.76,0.75,0.76,0.77,0.75,0.76,0.77,-9999.0,0.73,0.72,0.72,0.7,0.67,0.7,0.57,0.69,0.58,0.56,0.5
chr13,0.8,0.82,0.83,0.8,0.8,0.81,0.8,0.8,0.79,0.8,0.79,0.8,-9999.0,0.79,0.77,0.72,0.67,0.68,0.6,0.67,0.61,0.6,0.59
chr14,0.83,0.84,0.84,0.85,0.83,0.84,0.83,0.83,0.83,0.82,0.84,0.81,0.83,-9999.0,0.81,0.77,0.75,0.76,0.7,0.77,0.71,0.66,0.66
chr15,0.86,0.88,0.89,0.88,0.85,0.88,0.87,0.87,0.85,0.86,0.89,0.87,0.85,0.84,-9999.0,0.82,0.81,0.79,0.75,0.82,0.75,0.74,0.65
chr16,0.83,0.81,0.84,0.84,0.85,0.83,0.82,0.83,0.82,0.82,0.81,0.83,0.84,0.82,0.8,-9999.0,0.79,0.84,0.7,0.82,0.75,0.73,0.61
chr17,0.83,0.8,0.81,0.78,0.79,0.8,0.78,0.78,0.79,0.78,0.8,0.81,0.74,0.76,0.79,0.79,-9999.0,0.71,0.72,0.76,0.52,0.75,0.56
chr18,0.74,0.74,0.75,0.75,0.74,0.74,0.74,0.76,0.72,0.7,0.73,0.73,0.69,0.74,0.69,0.76,0.66,-9999.0,0.56,0.65,0.67,0.6,0.51
chr19,0.78,0.81,0.82,0.78,0.81,0.79,0.81,0.78,0.8,0.81,0.82,0.8,0.74,0.79,0.81,0.8,0.81,0.76,-9999.0,0.81,0.72,0.83,0.55
chr20,0.66,0.69,0.71,0.68,0.71,0.68,0.7,0.69,0.67,0.69,0.71,0.69,0.7,0.69,0.68,0.68,0.68,0.7,0.63,-9999.0,0.68,0.64,0.48
chr21,0.8,0.81,0.81,0.83,0.81,0.8,0.83,0.83,0.78,0.84,0.81,0.77,0.84,0.86,0.81,0.84,0.76,0.86,0.8,0.79,-9999.0,0.8,0.65
chr22,0.84,0.82,0.84,0.82,0.84,0.82,0.83,0.85,0.83,0.82,0.85,0.85,0.82,0.81,0.86,0.86,0.85,0.82,0.81,0.87,0.83,-9999.0,0.66
chrX,0.59,0.63,0.62,0.58,0.6,0.6,0.59,0.58,0.57,0.61,0.59,0.6,0.49,0.56,0.55,0.57,0.54,0.5,0.52,0.48,0.53,0.47,-9999.0
